회차,당첨번호,,,,,,,,,,,,,,,,,,,
year,회차,일자,1등 당첨자수,1등 당첨액,2등 당첨자수,2등 당첨액,3등 당첨자수,3등 당첨액,4등 당첨자수,4등 당첨액,5등 당첨자수,5등 당첨액,당첨번호#1,당첨번호#2,당첨번호#3,당첨번호#4,당첨번호#5,당첨번호#6,당첨번호#7
2024,1147,2024.11.23,8,"3,323,422,079",83,"53,388,307","3,588","1,235,014","173,036","50,000","2,750,379","5,000",7,11,24,26,27,37,32
2024,1146,2024.11.16,11,"2,526,476,353",72,"64,331,574","3,030","1,528,672","158,146","50,000","2,677,017","5,000",6,11,17,19,40,43,28
2024,1145,2024.11.9,9,"3,051,630,084",63,"72,657,860","3,312","1,382,079","164,055","50,000","2,647,054","5,000",2,11,31,33,37,44,32
2024,1144,2024.11.2,18,"1,489,347,375",94,"47,532,364","3,626","1,232,224","172,239","50,000","2,766,594","5,000",3,4,12,15,26,34,6
2024,1143,2024.10.26,11,"2,545,657,023",90,"51,855,977","3,154","1,479,721","156,400","50,000","2,612,029","5,000",10,16,17,27,28,36,6
2024,1142,2024.10.19,9,"3,117,517,709",67,"69,795,173","2,841","1,645,997","146,936","50,000","2,474,033","5,000",2,8,28,30,37,41,22
2024,1141,2024.10.12,11,"2,457,758,285",100,"45,058,902","3,371","1,336,663","165,233","50,000","2,718,563","5,000",7,11,12,21,26,35,20
2024,1140,2024.10.5,12,"2,279,823,938",83,"54,935,517","3,345","1,363,124","158,343","50,000","2,644,989","5,000",7,10,22,29,31,38,15
2024,1139,2024.9.28,13,"2,167,490,972",75,"62,616,406","3,240","1,449,454","163,236","50,000","2,645,260","5,000",5,12,15,30,37,40,18
2024,1138,2024.9.21,14,"1,902,656,786",50,"88,790,650","2,865","1,549,576","145,690","50,000","2,404,999","5,000",14,16,19,20,29,34,35
2024,1137,2024.9.14,14,"2,023,447,688",111,"42,534,937","3,323","1,420,818","163,296","50,000","2,737,836","5,000",4,9,12,15,33,45,26
2024,1136,2024.9.7,12,"2,314,468,157",75,"61,719,151","2,906","1,592,890","144,451","50,000","2,452,383","5,000",21,33,35,38,42,44,1
2024,1135,2024.8.31,9,"2,953,726,125",91,"48,687,794","3,417","1,296,632","163,808","50,000","2,654,691","5,000",1,6,13,19,21,33,4
2024,1134,2024.8.24,14,"1,755,689,384",97,"42,233,078","3,961","1,034,236","180,353","50,000","2,807,905","5,000",3,7,9,13,19,24,23
2024,1133,2024.8.17,13,"2,105,079,491",73,"62,479,529","2,737","1,666,426","143,047","50,000","2,393,005","5,000",13,14,20,28,29,34,23
2024,1132,2024.8.10,11,"2,404,951,807",73,"60,398,334","3,086","1,428,736","148,359","50,000","2,463,697","5,000",6,7,19,28,34,41,5
2024,1131,2024.8.3,17,"1,542,367,898",56,"78,036,471","2,861","1,527,453","144,842","50,000","2,471,592","5,000",1,2,6,14,27,38,33
2024,1130,2024.7.27,12,"2,263,301,219",69,"65,602,934","2,900","1,560,898","137,397","50,000","2,334,975","5,000",15,19,21,25,27,28,40
